Sweden, Life tables (period 5x1), Females	Last modified: 12 May 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1900           0      0.09524  0.08940  0.31  100000    8940   93868  5362916  53.63
  1900         1-4      0.01551  0.05968  1.46   91060    5434  350456  5269048  57.86
  1900         5-9      0.00540  0.02661  2.29   85626    2278  421946  4918592  57.44
  1900        10-14     0.00448  0.02214  2.50   83348    1846  412125  4496646  53.95
  1900        15-19     0.00570  0.02813  2.56   81502    2292  401927  4084521  50.12
  1900        20-24     0.00626  0.03084  2.54   79210    2443  390041  3682594  46.49
  1900        25-29     0.00648  0.03188  2.50   76767    2448  377713  3292553  42.89
  1900        30-34     0.00661  0.03254  2.54   74319    2418  365658  2914840  39.22
  1900        35-39     0.00693  0.03404  2.44   71901    2447  353235  2549182  35.45
  1900        40-44     0.00786  0.03855  2.51   69454    2678  340597  2195947  31.62
  1900        45-49     0.00839  0.04111  2.62   66776    2745  327346  1855349  27.78
  1900        50-54     0.01146  0.05576  2.57   64031    3571  311485  1528003  23.86
  1900        55-59     0.01451  0.07009  2.58   60460    4237  292025  1216518  20.12
  1900        60-64     0.02109  0.10029  2.56   56223    5639  267381   924493  16.44
  1900        65-69     0.03363  0.15571  2.63   50584    7876  234218   657112  12.99
  1900        70-74     0.05623  0.24821  2.64   42708   10600  188512   422894   9.90
  1900        75-79     0.09226  0.37589  2.54   32107   12069  130818   234382   7.30
  1900        80-84     0.15511  0.55365  2.42   20038   11094   71526   103564   5.17
  1900        85-89     0.25423  0.73525  2.13    8944    6576   25867    32038   3.58
  1900        90-94     0.36810  0.86243  1.92    2368    2042    5548     6172   2.61
  1900        95-99     0.51535  0.93892  1.62     326     306     593      624   1.91
  1900       100-104    0.65681  0.97230  1.38      20      19      29       30   1.52
  1900       105-109    0.77644  0.98575  1.22       1       1       1        1   1.29
  1900       110+       0.85553  1.00000  1.17       0       0       0        0   1.17
  1901           0      0.09964  0.09327  0.31  100000    9327   93603  5408666  54.09
  1901         1-4      0.01538  0.05922  1.49   90673    5370  349222  5315062  58.62
  1901         5-9      0.00581  0.02861  2.26   85303    2440  419823  4965840  58.21
  1901        10-14     0.00412  0.02041  2.49   82863    1691  410074  4546017  54.86
  1901        15-19     0.00526  0.02597  2.55   81172    2108  400692  4135943  50.95
  1901        20-24     0.00586  0.02890  2.53   79064    2285  389677  3735251  47.24
  1901        25-29     0.00645  0.03171  2.42   76779    2435  377610  3345574  43.57
  1901        30-34     0.00681  0.03348  2.48   74345    2489  365458  2967964  39.92
  1901        35-39     0.00671  0.03299  2.53   71856    2371  353431  2602506  36.22
  1901        40-44     0.00784  0.03845  2.49   69485    2671  340717  2249075  32.37
  1901        45-49     0.00837  0.04103  2.58   66814    2741  327433  1908358  28.56
  1901        50-54     0.01037  0.05060  2.57   64072    3242  312487  1580925  24.67
  1901        55-59     0.01410  0.06815  2.58   60830    4146  294124  1268439  20.85
  1901        60-64     0.01943  0.09288  2.64   56685    5265  271023   974315  17.19
  1901        65-69     0.02996  0.13999  2.66   51420    7198  240270   703292  13.68
  1901        70-74     0.05085  0.22638  2.58   44221   10011  196851   463022  10.47
  1901        75-79     0.08654  0.35545  2.49   34211   12160  140515   266170   7.78
  1901        80-84     0.13602  0.50584  2.47   22050   11154   82004   125656   5.70
  1901        85-89     0.22060  0.68240  2.21   10896    7436   33706    43652   4.01
  1901        90-94     0.32900  0.82993  2.01    3461    2872    8730     9946   2.87
  1901        95-99     0.47525  0.92353  1.69     589     544    1144     1216   2.07
  1901       100-104    0.61929  0.96585  1.44      45      43      70       72   1.61
  1901       105-109    0.74653  0.98318  1.25       2       2       2        2   1.34
  1901       110+       0.83333  1.00000  1.20       0       0       0        0   1.20
  1902           0      0.08132  0.07702  0.31  100000    7702   94717  5586895  55.87
  1902         1-4      0.01405  0.05427  1.48   92298    5009  356556  5492178  59.51
  1902         5-9      0.00463  0.02285  2.26   87288    1994  430967  5135621  58.84
  1902        10-14     0.00371  0.01839  2.57   85294    1569  422651  4704654  55.16
  1902        15-19     0.00486  0.02404  2.54   83725    2012  413674  4282004  51.14
  1902        20-24     0.00542  0.02674  2.53   81713    2185  403163  3868329  47.34
  1902        25-29     0.00622  0.03064  2.46   79527    2436  391457  3465166  43.57
  1902        30-34     0.00632  0.03108  2.46   77091    2396  379367  3073709  39.87
  1902        35-39     0.00691  0.03397  2.52   74695    2537  367190  2694342  36.07
  1902        40-44     0.00721  0.03542  2.55   72158    2555  354529  2327152  32.25
  1902        45-49     0.00855  0.04187  2.55   69602    2914  340857  1972623  28.34
  1902        50-54     0.01091  0.05316  2.60   66688    3545  324937  1631766  24.47
  1902        55-59     0.01370  0.06632  2.62   63143    4188  305747  1306829  20.70
  1902        60-64     0.02038  0.09717  2.62   58955    5729  281141  1001082  16.98
  1902        65-69     0.03204  0.14880  2.61   53226    7920  247227   719941  13.53
  1902        70-74     0.05100  0.22718  2.60   45306   10292  201823   472714  10.43
  1902        75-79     0.08641  0.35630  2.54   35014   12475  144366   270890   7.74
  1902        80-84     0.14077  0.51698  2.43   22538   11652   82769   126525   5.61
  1902        85-89     0.22065  0.67910  2.17   10887    7393   33506    43755   4.02
  1902        90-94     0.32228  0.82078  2.01    3494    2867    8897    10250   2.93
  1902        95-99     0.45356  0.91263  1.73     626     571    1260     1352   2.16
  1902       100-104    0.58748  0.95865  1.49      55      52      89       92   1.69
  1902       105-109    0.71081  0.97922  1.30       2       2       3        3   1.40
  1902       110+       0.79911  1.00000  1.25       0       0       0        0   1.25
  1903           0      0.08588  0.08110  0.31  100000    8110   94437  5638807  56.39
  1903         1-4      0.01305  0.05050  1.43   91890    4640  355618  5544370  60.34
  1903         5-9      0.00457  0.02257  2.20   87249    1969  430741  5188751  59.47
  1903        10-14     0.00364  0.01804  2.57   85280    1539  422660  4758010  55.79
  1903        15-19     0.00465  0.02301  2.57   83742    1927  414024  4335349  51.77
