Sweden, Death rates (period 1x1), 	Last modified: 12 May 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1900           0             0.095239        0.119217        0.107446
  1900           1             0.028144        0.029844        0.029010
  1900           2             0.014858        0.015549        0.015211
  1900           3             0.010072        0.011552        0.010825
  1900           4             0.008457        0.009132        0.008799
  1900           5             0.006925        0.006953        0.006939
  1900           6             0.005788        0.005533        0.005658
  1900           7             0.004610        0.004823        0.004718
  1900           8             0.005124        0.004998        0.005060
  1900           9             0.004520        0.004160        0.004338
  1900          10             0.004505        0.003703        0.004101
  1900          11             0.004380        0.003820        0.004097
  1900          12             0.004176        0.003269        0.003717
  1900          13             0.005063        0.003420        0.004231
  1900          14             0.004269        0.003399        0.003828
  1900          15             0.005200        0.003353        0.004262
  1900          16             0.005355        0.004647        0.004994
  1900          17             0.006055        0.005237        0.005637
  1900          18             0.005917        0.005690        0.005801
  1900          19             0.006002        0.005939        0.005970
  1900          20             0.005990        0.006759        0.006379
  1900          21             0.006359        0.006921        0.006645
  1900          22             0.005703        0.006780        0.006250
  1900          23             0.006535        0.006551        0.006543
  1900          24             0.006737        0.007377        0.007060
  1900          25             0.006614        0.007112        0.006862
  1900          26             0.006925        0.007411        0.007166
  1900          27             0.005227        0.007360        0.006279
  1900          28             0.006719        0.007024        0.006869
  1900          29             0.006918        0.007385        0.007147
  1900          30             0.006137        0.007498        0.006800
  1900          31             0.006455        0.006609        0.006529
  1900          32             0.006756        0.006653        0.006707
  1900          33             0.006825        0.006359        0.006601
  1900          34             0.006906        0.006847        0.006877
  1900          35             0.007250        0.008056        0.007634
  1900          36             0.007217        0.007469        0.007337
  1900          37             0.006760        0.008746        0.007700
  1900          38             0.006756        0.007790        0.007243
  1900          39             0.006647        0.008508        0.007520
  1900          40             0.007800        0.008197        0.007986
  1900          41             0.007774        0.009199        0.008442
  1900          42             0.007769        0.009234        0.008454
  1900          43             0.007607        0.010099        0.008770
  1900          44             0.008364        0.010370        0.009309
  1900          45             0.007225        0.009841        0.008458
  1900          46             0.008653        0.012897        0.010647
  1900          47             0.006750        0.011199        0.008835
  1900          48             0.009862        0.011670        0.010712
  1900          49             0.009493        0.011801        0.010578
  1900          50             0.010675        0.013801        0.012135
  1900          51             0.010520        0.013142        0.011737
  1900          52             0.011589        0.013245        0.012356
  1900          53             0.011850        0.013572        0.012655
  1900          54             0.012745        0.016320        0.014403
  1900          55             0.013059        0.015517        0.014197
  1900          56             0.014055        0.017663        0.015728
  1900          57             0.013701        0.017902        0.015630
  1900          58             0.015950        0.019697        0.017666
  1900          59             0.015897        0.020101        0.017827
  1900          60             0.019103        0.023801        0.021253
  1900          61             0.018942        0.022727        0.020661
  1900          62             0.022395        0.027724        0.024826
  1900          63             0.022045        0.029571        0.025468
  1900          64             0.023194        0.031652        0.027022
  1900          65             0.027219        0.032695        0.029710
  1900          66             0.031182        0.039041        0.034759
  1900          67             0.033767        0.040385        0.036793
  1900          68             0.035907        0.040244        0.037880
  1900          69             0.041163        0.045424        0.043082
  1900          70             0.043571        0.051671        0.047215
  1900          71             0.050962        0.060916        0.055415
  1900          72             0.053887        0.067033        0.059725
  1900          73             0.063574        0.071994        0.067307
  1900          74             0.073219        0.076642        0.074735
  1900          75             0.072767        0.088120        0.079472
  1900          76             0.084927        0.099372        0.091275
  1900          77             0.093517        0.107949        0.099790
  1900          78             0.104096        0.117521        0.109954
  1900          79             0.115754        0.130558        0.122262
  1900          80             0.125703        0.139975        0.131892
  1900          81             0.141577        0.157742        0.148527
  1900          82             0.156677        0.178887        0.166031
  1900          83             0.181017        0.214722        0.194692
  1900          84             0.199794        0.231719        0.212399
  1900          85             0.227764        0.228682        0.228118
  1900          86             0.233449        0.260669        0.243879
  1900          87             0.266792        0.302533        0.280528
  1900          88             0.304774        0.350741        0.321750
  1900          89             0.288114        0.377146        0.319430
  1900          90             0.323440        0.361170        0.336159
  1900          91             0.360671        0.372295        0.364406
  1900          92             0.333728        0.523253        0.387941
  1900          93             0.316364        0.491229        0.366332
  1900          94             0.434646        0.432657        0.434107
  1900          95             0.567961        0.595787        0.574675
  1900          96             0.575342        0.477876        0.548148
  1900          97             0.532544        0.654545        0.562500
  1900          98             0.954545        0.000000        0.865979
  1900          99             0.654545        1.200000        0.738462
  1900         100             0.521739        0.750000        0.580645
  1900         101             0.260870        0.000000        0.230769
  1900         102             1.500000              .        1.500000
  1900         103                   .              .              .
  1900         104                   .              .              .
  1900         105                   .              .              .
  1900         106                   .              .              .
  1900         107                   .              .              .
  1900         108                   .              .              .
  1900         109                   .              .              .
  1900         110+                  .              .              .
  1901           0             0.099639        0.121823        0.110958
  1901           1             0.027441        0.029134        0.028299
  1901           2             0.014313        0.014765        0.014543
  1901           3             0.010584        0.011279        0.010939
  1901           4             0.008711        0.009142        0.008930
  1901           5             0.007499        0.007175        0.007335
  1901           6             0.006415        0.005950        0.006179
  1901           7             0.005131        0.005202        0.005167
  1901           8             0.005261        0.004508        0.004878
  1901           9             0.004717        0.004373        0.004542
  1901          10             0.004269        0.004170        0.004219
  1901          11             0.004018        0.003644        0.003829
  1901          12             0.003871        0.003368        0.003616
  1901          13             0.004366        0.003139        0.003744
  1901          14             0.004094        0.003458        0.003771
  1901          15             0.004814        0.003390        0.004090
  1901          16             0.005066        0.004028        0.004537
  1901          17             0.005657        0.004617        0.005126
  1901          18             0.005311        0.005370        0.005341
  1901          19             0.005461        0.006197        0.005836
  1901          20             0.005256        0.006255        0.005761
  1901          21             0.006270        0.006855        0.006567
  1901          22             0.006092        0.007544        0.006829
  1901          23             0.005426        0.007255        0.006350
  1901          24             0.006282        0.006853        0.006569
  1901          25             0.006883        0.007122        0.007003
  1901          26             0.006828        0.007107        0.006967
  1901          27             0.006471        0.006930        0.006698
  1901          28             0.005726        0.006610        0.006159
  1901          29             0.006313        0.006670        0.006488
  1901          30             0.007148        0.005573        0.006381
  1901          31             0.005968        0.006844        0.006391
  1901          32             0.007151        0.006144        0.006672
  1901          33             0.007441        0.006361        0.006930
  1901          34             0.006346        0.006076        0.006217
  1901          35             0.006463        0.007416        0.006916
  1901          36             0.006371        0.006218        0.006299
  1901          37             0.006953        0.007116        0.007030
  1901          38             0.006650        0.006943        0.006788
  1901          39             0.007113        0.006750        0.006943
  1901          40             0.008289        0.008690        0.008477
  1901          41             0.007074        0.007987        0.007501
  1901          42             0.007775        0.008108        0.007931
  1901          43             0.008288        0.008956        0.008600
  1901          44             0.007777        0.008275        0.008010
  1901          45             0.007211        0.009180        0.008137
  1901          46             0.008632        0.010410        0.009469
  1901          47             0.008143        0.009893        0.008965
  1901          48             0.008734        0.010437        0.009532
  1901          49             0.009173        0.012440        0.010710
  1901          50             0.009415        0.012424        0.010830
  1901          51             0.009978        0.012964        0.011373
  1901          52             0.010417        0.013560        0.011877
  1901          53             0.010658        0.015716        0.013003
  1901          54             0.011452        0.014868        0.013048
  1901          55             0.013012        0.014943        0.013909
  1901          56             0.012447        0.015341        0.013788
  1901          57             0.014168        0.017109        0.015533
  1901          58             0.015740        0.018133        0.016840
  1901          59             0.015219        0.021178        0.017950
  1901          60             0.015518        0.020390        0.017761
  1901          61             0.018034        0.023069        0.020340
  1901          62             0.020076        0.022963        0.021389
  1901          63             0.020783        0.024300        0.022388
  1901          64             0.023067        0.030639        0.026509
  1901          65             0.023593        0.030936        0.026918
  1901          66             0.026966        0.032198        0.029349
  1901          67             0.030165        0.038629        0.034020
  1901          68             0.032549        0.039342        0.035652
  1901          69             0.037530        0.044767        0.040827
  1901          70             0.043717        0.049943        0.046521
  1901          71             0.044603        0.049759        0.046925
  1901          72             0.052231        0.060740        0.056037
  1901          73             0.054019        0.061487        0.057330
  1901          74             0.062039        0.072521        0.066698
  1901          75             0.074628        0.079166        0.076635
  1901          76             0.080880        0.080769        0.080831
